cidade,estado,perfil_id,genero,faixa_etaria
São Paulo,SP,1,Feminino,26-35
São Paulo,SP,2,Masculino,36-45
Rio de Janeiro,RJ,1,Feminino,46-60
Rio de Janeiro,RJ,2,Masculino,26-35
Belo Horizonte,MG,3,Feminino,18-25
Belo Horizonte,MG,1,Masculino,60+
Salvador,BA,2,Feminino,36-45
Salvador,BA,3,Masculino,26-35
Porto Alegre,RS,4,Feminino,26-35
Porto Alegre,RS,1,Masculino,46-60
São Gonçalo,RJ,3,Feminino,18-25
São Gonçalo,RJ,2,Masculino,36-45
Duque de Caxias,RJ,4,Feminino,60+
Duque de Caxias,RJ,1,Masculino,26-35
Caxias do Sul,RS,2,Feminino,36-45
Caxias do Sul,RS,3,Masculino,46-60
Campinas,SP,1,Feminino,26-35
Campinas,SP,4,Masculino,18-25
Barueri,SP,2,Feminino,26-35
Barueri,SP,1,Masculino,60+
Guarulhos,SP,3,Feminino,18-25
Guarulhos,SP,4,Masculino,36-45
Franca,SP,1,Feminino,46-60
Franca,SP,2,Masculino,26-35
Dourados,MS,3,Feminino,36-45
Dourados,MS,1,Masculino,18-25
Contagem,MG,2,Feminino,26-35
Contagem,MG,3,Masculino,60+
Uberlândia,MG,4,Feminino,18-25
Uberlândia,MG,1,Masculino,26-35
Petrolina,PE,2,Feminino,36-45
Petrolina,PE,3,Masculino,46-60
Sobral,CE,1,Feminino,26-35
Sobral,CE,4,Masculino,18-25
Parintins,AM,2,Feminino,36-45
Parintins,AM,3,Masculino,26-35
Ananindeua,PA,1,Feminino,60+
Ananindeua,PA,2,Masculino,18-25
Joinville,SC,3,Feminino,26-35
Joinville,SC,1,Masculino,46-60
Blumenau,SC,2,Feminino,36-45
Blumenau,SC,3,Masculino,18-25
Guarapuava,PR,4,Feminino,26-35
Guarapuava,PR,1,Masculino,36-45
Cascavel,PR,2,Feminino,46-60
Cascavel,PR,3,Masculino,60+
Londrina,PR,1,Feminino,18-25
Londrina,PR,2,Masculino,26-35
Maringá,PR,3,Feminino,36-45
Maringá,PR,4,Masculino,46-60
Anápolis,GO,1,Feminino,26-35
Anápolis,GO,2,Masculino,18-25
Brasília,DF,3,Feminino,60+
Brasília,DF,4,Masculino,36-45
Rio Branco,AC,1,Feminino,26-35
Rio Branco,AC,2,Masculino,46-60
Maceió,AL,3,Feminino,18-25
Maceió,AL,4,Masculino,26-35
Macapá,AP,1,Feminino,36-45
Macapá,AP,2,Masculino,60+
Manaus,AM,3,Feminino,18-25
Manaus,AM,4,Masculino,26-35
Fortaleza,CE,1,Feminino,36-45
Fortaleza,CE,2,Masculino,46-60
Vitória,ES,3,Feminino,60+
Vitória,ES,4,Masculino,18-25
Goiânia,GO,1,Feminino,26-35
Goiânia,GO,2,Masculino,36-45
São Luís,MA,3,Feminino,46-60
São Luís,MA,4,Masculino,60+
Cuiabá,MT,1,Feminino,18-25
Cuiabá,MT,2,Masculino,26-35
Campo Grande,MS,3,Feminino,36-45
Campo Grande,MS,4,Masculino,46-60
Belém,PA,1,Feminino,60+
Belém,PA,2,Masculino,18-25
João Pessoa,PB,3,Feminino,26-35
João Pessoa,PB,4,Masculino,36-45
Curitiba,PR,1,Feminino,46-60
Curitiba,PR,2,Masculino,60+
Recife,PE,3,Feminino,18-25
Recife,PE,4,Masculino,26-35
Teresina,PI,1,Feminino,36-45
Teresina,PI,2,Masculino,46-60
Natal,RN,3,Feminino,60+
Natal,RN,4,Masculino,18-25
Porto Velho,RO,1,Feminino,26-35
Porto Velho,RO,2,Masculino,36-45
Boa Vista,RR,3,Feminino,46-60
Boa Vista,RR,4,Masculino,60+
Florianópolis,SC,1,Feminino,18-25
Florianópolis,SC,2,Masculino,26-35
Aracaju,SE,3,Feminino,36-45
Aracaju,SE,4,Masculino,46-60
Palmas,TO,1,Feminino,60+
Palmas,TO,2,Masculino,18-25
